title,n_enrolled,course_type,institution,instructors,Level,subject,language,course_length_weeks,  price  ,Average_Course_effort_per_week
¬°Conceptos b√°sicos de Python para Data Science!,0,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,5,  £49.00  ,3.5
u.lab: Leading From the Emerging Future,79424,Self-paced on your time,Massachusetts Institute of Technology,Otto Scharmer-Dayna Cunningham-Kelvy Bird-Arawana Hayashi,Introductory,Business & Management,English,14,  £99.00  ,5
edX101: Overview of Creating an edX Course,22327,Self-paced on your time,edX,Mark Rudnick-Ildi Morris,Introductory,Education & Teacher Training,English,1,  £99.00  ,1.5
e-Learning on Digital Agriculture,6238,Self-paced on your time,World Bank Group,OLC and SURR ,Introductory,Environmental Studies,English,5,  £5.00  ,2.5
You Can Innovate: User  Innovation & Entrepreneurship,18974,Self-paced on your time,Massachusetts Institute of Technology,Eric von Hippel-Erdin Beshimov,Introductory,Business & Management,English,10,  £49.00  ,3
"Writing, Presenting and Submitting Scientific Papers in English | Ëã±ÊñáÁßëÊäÄËÆ∫ÊñáÂÜô‰Ωú‰∏éÂ≠¶ÊúØÊä•Âëä",35720,Self-paced on your time,Tsinghua University,Xiaohong Guan,Intermediate,Communication,English,5,  £49.00  ,2.5
Writing for Social Justice,9927,Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Introductory,Humanities,English,4,  £50.00  ,4.5
World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,Kerry Wilkinson-Cassandra Collins-David Jeffery-Paul Grbin,Introductory,Science,English,6,  £199.00  ,2.5
Working in Teams: A Practical Guide,43981,Self-paced on your time,The University of Queensland,Lydia Kavanagh-David Neil,Introductory,Humanities,English,4,  £49.00  ,7
Work and Employment for a Sustainable Future,6528,Self-paced on your time,SDG Academy,Jeffrey D. Sachs-Jeemol Unni-Martha Chen-Kailash Satyarthi,Intermediate,Economics & Finance,English,6,  £49.00  ,3
Word intermedio: herramientas de formato y productividad,10265,Self-paced on your time,Universitat Polit√®cnica de Valencia,Andr√©s Lloret Salom,Intermediate,Computer Science,English,6,  £50.00  ,4.5
"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,Laurel Thatcher Ulrich-Jane Kamensky,Introductory,History,English,8,  £99.00  ,2.5
What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,Ariane Janse van Rensburg-Mawabo Msingaphantsi-Ludwig Hansen-Johan N Prinsloo,Introductory,Architecture,English,3,  £49.00  ,2.5
What Works in Education: Evidence-Based Education Policies,5540,Self-paced on your time,Inter-American Development Bank,Emiliana Vegas,Introductory,Education & Teacher Training,English,10,  £25.00  ,3.5
What Every Provider Should Know: Clinical Fundamentals,0,Self-paced on your time,Stanford University,Matthew Strehlow-S.V. Mahadevan-Rebecca Walker,Introductory,Medicine,English,10,  £50.00  ,5
Vocal Recording Technology,52369,Self-paced on your time,Berklee College of Music,Prince Charles Alexander,Introductory,Engineering,English,6,  £49.00  ,5.5
Visualizing Data with Python,42101,Self-paced on your time,IBM,Alex Aklson,Intermediate,Data Analysis & Statistics,English,5,  £39.00  ,3
Visualizaci√≥n de Datos y Storytelling,5980,Self-paced on your time,Tecnol√≥gico de Monterrey,Jes√∫s Aguilar,Intermediate,Data Analysis & Statistics,English,4,  £49.00  ,4
Visual Presentation,0,Self-paced on your time,Rochester Institute of Technology,Lori Marra,Introductory,Communication,English,3,  £199.00  ,5
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,Jonathan Gershoni,Introductory,Medicine,English,7,  £149.00  ,2.5
VideoX: Creating Video for the edX Platform,12159,Self-paced on your time,edX,Erik Brown-James Donald,Introductory,Education & Teacher Training,English,2,  £99.00  ,3
Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Johan Neyts-Corinne Vandermeulen-Steven Van Gucht-Marta Romano,Intermediate,Medicine,English,6,  £49.00  ,4
Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Alvaro Figueroa Cabrera,Introductory,Economics & Finance,English,6,  £49.00  ,7
Using Python for Research,262183,Self-paced on your time,Harvard University,"Jukka-Pekka ""JP"" Onnela",Intermediate,Computer Science,English,12,  £99.00  ,3
Using GPUs to Scale and Speed-up Deep Learning,9294,Self-paced on your time,IBM,Saeed Aghabozorgi,Intermediate,Data Analysis & Statistics,English,5,  £99.00  ,3
Using Email for Networking in English,57208,Self-paced on your time,University of Washington,Daphne Mackey-Richard Moore,Introductory,Language,English,4,  £149.00  ,4
User Experience (UX) Design: Human Factors and Culture in Design | ËÆæËÆ°ÁöÑ‰∫∫Âõ†‰∏éÊñáÂåñ,23828,Self-paced on your time,Tsinghua University,Pei-Luen Patrick Rau,Advanced,Engineering,English,7,  £139.00  ,3
Urban Sewage Treatment,40408,Self-paced on your time,Delft University of Technology,Jules van Lier-Merle de Kreuk,Intermediate,Engineering,English,7,  £50.00  ,7
Upper-Intermediate English: Business and Technology,47451,Self-paced on your time,Universitat Polit√®cnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,4,  £50.00  ,4
Upper-Intermediate English: Business and Modern Life,77991,Self-paced on your time,Universitat Polit√®cnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,4,  £50.00  ,4
Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Polit√®cnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,4,  £50.00  ,4
Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Polit√®cnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,4,  £50.00  ,4
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Self-paced on your time,World Bank Group,Julius Gwyer-Demet Cabbar-Ian MacDonald-Sander Glas,Introductory,Economics & Finance,English,4,  £5.00  ,5
Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,6,  £149.00  ,5
Unlocking Information Security: Part I,19905,Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,6,  £149.00  ,5
Understanding the Australian Health Care System,8343,Self-paced on your time,The University of Queensland,Cherri Ryan-Mieke van Driel-Allyson Mutch,Introductory,Medicine,English,9,  £59.00  ,1.5
Understanding Political Concepts,7421,Self-paced on your time,Universit√† degli Studi di Napoli Federico II,Mauro Calise-Werner Patzelt-Fortunato Musella-Valentina Reda,Introductory,Social Sciences,English,6,  £59.00  ,5
Understanding Nuclear Energy,16015,Self-paced on your time,Delft University of Technology,Rudy Konings-Jan-Leen Kloosterman-Stefaan Pomm√©-Victor Hugo S√°nchez Espinoza,Intermediate,Engineering,English,6,  £50.00  ,5
